user_type,user_id,user_relation,relation,object_type,object_id,condition_name,condition_context
user,44444444-4444-4444-4444-444444444444,,member,organization,11111111-1111-1111-1111-111111111111,,
user,44444444-4444-4444-4444-444444444444,,knowledge_contributor,organization,11111111-1111-1111-1111-111111111111,,
user,55555555-5555-5555-5555-555555555555,,member,organization,11111111-1111-1111-1111-111111111111,,
user,13000000-0000-4000-8000-000000000001,,member,organization,11111111-1111-1111-1111-111111111111,,
user,44444444-4444-4444-4444-444444444444,,assignee,role,capability-contributor,,
user,55555555-5555-5555-5555-555555555555,,assignee,role,capability-reviewer,,
user,13000000-0000-4000-8000-000000000001,,assignee,role,organization-admin,,
role,capability-contributor,assignee,capability_contributor,organization,11111111-1111-1111-1111-111111111111,,
role,capability-reviewer,assignee,capability_reviewer,organization,11111111-1111-1111-1111-111111111111,,
role,capability-reviewer,assignee,capability_contributor,organization,11111111-1111-1111-1111-111111111111,,
role,organization-admin,assignee,administrator,organization,11111111-1111-1111-1111-111111111111,,
organization,11111111-1111-1111-1111-111111111111,,organization,organizational_unit,22222222-2222-2222-2222-222222222222,,
user,44444444-4444-4444-4444-444444444444,,member,organizational_unit,22222222-2222-2222-2222-222222222222,,
user,55555555-5555-5555-5555-555555555555,,member,organizational_unit,22222222-2222-2222-2222-222222222222,,
organization,11111111-1111-1111-1111-111111111111,,organization,knowledge_space,88888888-8888-4888-8888-888888888801,,
organization,11111111-1111-1111-1111-111111111111,member,viewer,knowledge_space,88888888-8888-4888-8888-888888888801,,
organization,11111111-1111-1111-1111-111111111111,knowledge_contributor,contributor,knowledge_space,88888888-8888-4888-8888-888888888801,,
organization,11111111-1111-1111-1111-111111111111,,organization,knowledge_space,88888888-8888-4888-8888-888888888802,,
organizational_unit,22222222-2222-2222-2222-222222222222,,organizational_unit,knowledge_space,88888888-8888-4888-8888-888888888802,,
organizational_unit,22222222-2222-2222-2222-222222222222,member,viewer,knowledge_space,88888888-8888-4888-8888-888888888802,,
organizational_unit,22222222-2222-2222-2222-222222222222,member,contributor,knowledge_space,88888888-8888-4888-8888-888888888802,,
